UID        PID  PPID  C STIME TTY          TIME CMD
root       537     2  0 Feb23 ?        00:00:32 [irq/36-iwlwifi]
root       553     2  0 Feb23 ?        00:00:02 [kworker/2:3]
systemd+   638     1  0 Feb23 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       879     1  0 Feb23 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root       880     1  0 Feb23 ?        00:00:00 /usr/sbin/ModemManager
root       882     1  0 Feb23 ?        00:00:01 /usr/sbin/acpid
whoopsie   884     1  0 Feb23 ?        00:00:00 /usr/bin/whoopsie -f
root       885     1  0 Feb23 ?        00:00:00 /lib/systemd/systemd-logind
message+   895     1  0 Feb23 ?        00:00:03 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       923     1  0 Feb23 ?        00:00:08 /usr/sbin/NetworkManager --no-daemon
root       925     1  0 Feb23 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       932     1  0 Feb23 ?        00:00:00 /usr/sbin/cron -f
syslog     933     1  0 Feb23 ?        00:00:00 /usr/sbin/rsyslogd -n
root       934     1  0 Feb23 ?        00:00:00 /usr/sbin/smartd -n
root       936     1  0 Feb23 ?        00:00:00 /usr/lib/snapd/snapd
root       953     2  0 Feb23 ?        00:00:00 [kworker/3:1H]
root      1017     1  0 Feb23 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1055     1  0 Feb23 ?        00:00:25 /usr/bin/dockerd -H fd://
colord    1057     1  0 Feb23 ?        00:00:00 /usr/lib/colord/colord
root      1058     1  0 Feb23 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1067     1  0 Feb23 ?        00:00:00 /usr/sbin/lightdm
root      1097  1067  0 Feb23 tty7     00:00:50 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1105     1  0 Feb23 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      1112  1055  0 Feb23 ?        00:00:16 docker-containerd -l unix:///var/run/docker/libcontainerd/docker-containerd.sock --metrics-interval=0 --start-timeout 2m --state-dir /var/run/docker/libcontainerd/containerd --shim docker-containerd-shim --runtime docker-runc
root      1162     1  0 Feb23 ?        00:00:01 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1165     2  0 Feb23 ?        00:00:00 [kworker/u17:2]
root      1168     1  0 Feb23 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root      1308  1067  0 Feb23 ?        00:00:00 lightdm --session-child 12 19
rtkit     1506     1  0 Feb23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1601     2  0 Feb23 ?        00:00:00 [krfcommd]
root      1607     1  0 Feb23 ?        00:00:00 /usr/lib/upower/upowerd
guak      1741     1  0 Feb23 ?        00:00:00 /lib/systemd/systemd --user
guak      1743  1741  0 Feb23 ?        00:00:00 (sd-pam)
